npmPackageName,versionNumber
@acemir/cssom,0.9.31
@algolia/abtesting,1.12.2
@algolia/client-abtesting,5.46.2
@algolia/client-analytics,5.46.2
@algolia/client-common,5.46.2
@algolia/client-insights,5.46.2
@algolia/client-personalization,5.46.2
@algolia/client-query-suggestions,5.46.2
@algolia/client-search,5.46.2
@algolia/ingestion,1.46.2
@algolia/monitoring,1.46.2
@algolia/recommend,5.46.2
@algolia/requester-browser-xhr,5.46.2
@algolia/requester-fetch,5.46.2
@algolia/requester-node-http,5.46.2
@alloc/quick-lru,5.2.0
@ampproject/remapping,2.3.0
@angular-devkit/architect,0.2101.0
@angular-devkit/core,21.1.0
@angular-devkit/schematics,21.1.0
@angular-eslint/builder,21.1.0
@angular-eslint/bundled-angular-compiler,21.1.0
@angular-eslint/eslint-plugin,21.1.0
@angular-eslint/eslint-plugin-template,21.1.0
@angular-eslint/schematics,21.1.0
@angular-eslint/template-parser,21.1.0
@angular-eslint/utils,21.1.0
@angular/animations,21.1.0
@angular/build,21.1.0
@angular/cdk,21.1.3
@angular/cli,21.1.0
@angular/common,21.1.0
@angular/compiler,21.1.0
@angular/compiler-cli,21.1.0
@angular/core,21.1.0
@angular/forms,21.1.0
@angular/language-service,21.1.0
@angular/platform-browser,21.1.0
@angular/platform-browser-dynamic,21.1.0
@angular/router,21.1.0
@asamuzakjp/css-color,4.1.1
@asamuzakjp/dom-selector,6.7.6
@asamuzakjp/nwsapi,2.3.9
@babel/code-frame,7.28.6
@babel/compat-data,7.28.6
@babel/core,7.28.6
@babel/generator,7.28.6
@babel/helper-annotate-as-pure,7.27.3
@babel/helper-compilation-targets,7.28.6
@babel/helper-create-class-features-plugin,7.28.6
@babel/helper-create-regexp-features-plugin,7.28.5
@babel/helper-define-polyfill-provider,0.6.5
@babel/helper-globals,7.28.0
@babel/helper-member-expression-to-functions,7.28.5
@babel/helper-module-imports,7.28.6
@babel/helper-module-transforms,7.28.6
@babel/helper-optimise-call-expression,7.27.1
@babel/helper-plugin-utils,7.28.6
@babel/helper-remap-async-to-generator,7.27.1
@babel/helper-replace-supers,7.28.6
@babel/helper-skip-transparent-expression-wrappers,7.27.1
@babel/helper-split-export-declaration,7.24.7
@babel/helper-string-parser,7.27.1
@babel/helper-validator-identifier,7.28.5
@babel/helper-validator-option,7.27.1
@babel/helper-wrap-function,7.28.6
@babel/helpers,7.28.6
@babel/parser,7.28.6
@babel/plugin-bugfix-firefox-class-in-computed-class-key,7.28.5
@babel/plugin-bugfix-safari-class-field-initializer-scope,7.27.1
@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression,7.27.1
@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining,7.27.1
@babel/plugin-bugfix-v8-static-class-fields-redefine-readonly,7.28.6
@babel/plugin-proposal-decorators,7.28.6
@babel/plugin-proposal-private-property-in-object,7.21.0-placeholder-for-preset-env.2
@babel/plugin-syntax-async-generators,7.8.4
@babel/plugin-syntax-bigint,7.8.3
@babel/plugin-syntax-class-properties,7.12.13
@babel/plugin-syntax-class-static-block,7.14.5
@babel/plugin-syntax-decorators,7.28.6
@babel/plugin-syntax-import-assertions,7.28.6
@babel/plugin-syntax-import-attributes,7.28.6
@babel/plugin-syntax-import-meta,7.10.4
@babel/plugin-syntax-json-strings,7.8.3
@babel/plugin-syntax-jsx,7.28.6
@babel/plugin-syntax-logical-assignment-operators,7.10.4
@babel/plugin-syntax-nullish-coalescing-operator,7.8.3
@babel/plugin-syntax-numeric-separator,7.10.4
@babel/plugin-syntax-object-rest-spread,7.8.3
@babel/plugin-syntax-optional-catch-binding,7.8.3
@babel/plugin-syntax-optional-chaining,7.8.3
@babel/plugin-syntax-private-property-in-object,7.14.5
@babel/plugin-syntax-top-level-await,7.14.5
@babel/plugin-syntax-typescript,7.28.6
@babel/plugin-syntax-unicode-sets-regex,7.18.6
@babel/plugin-transform-arrow-functions,7.27.1
@babel/plugin-transform-async-generator-functions,7.28.6
@babel/plugin-transform-async-to-generator,7.28.6
@babel/plugin-transform-block-scoped-functions,7.27.1
@babel/plugin-transform-block-scoping,7.28.6
@babel/plugin-transform-class-properties,7.28.6
@babel/plugin-transform-class-static-block,7.28.6
@babel/plugin-transform-classes,7.28.6
@babel/plugin-transform-computed-properties,7.28.6
@babel/plugin-transform-destructuring,7.28.5
@babel/plugin-transform-dotall-regex,7.28.6
@babel/plugin-transform-duplicate-keys,7.27.1
@babel/plugin-transform-duplicate-named-capturing-groups-regex,7.28.6
@babel/plugin-transform-dynamic-import,7.27.1
@babel/plugin-transform-explicit-resource-management,7.28.6
@babel/plugin-transform-exponentiation-operator,7.28.6
@babel/plugin-transform-export-namespace-from,7.27.1
@babel/plugin-transform-for-of,7.27.1
@babel/plugin-transform-function-name,7.27.1
@babel/plugin-transform-json-strings,7.28.6
@babel/plugin-transform-literals,7.27.1
@babel/plugin-transform-logical-assignment-operators,7.28.6
@babel/plugin-transform-member-expression-literals,7.27.1
@babel/plugin-transform-modules-amd,7.27.1
@babel/plugin-transform-modules-commonjs,7.28.6
@babel/plugin-transform-modules-systemjs,7.28.5
@babel/plugin-transform-modules-umd,7.27.1
@babel/plugin-transform-named-capturing-groups-regex,7.27.1
@babel/plugin-transform-new-target,7.27.1
@babel/plugin-transform-nullish-coalescing-operator,7.28.6
@babel/plugin-transform-numeric-separator,7.28.6
@babel/plugin-transform-object-rest-spread,7.28.6
@babel/plugin-transform-object-super,7.27.1
@babel/plugin-transform-optional-catch-binding,7.28.6
@babel/plugin-transform-optional-chaining,7.28.6
@babel/plugin-transform-parameters,7.27.7
@babel/plugin-transform-private-methods,7.28.6
@babel/plugin-transform-private-property-in-object,7.28.6
@babel/plugin-transform-property-literals,7.27.1
@babel/plugin-transform-react-constant-elements,7.27.1
@babel/plugin-transform-react-display-name,7.28.0
@babel/plugin-transform-react-jsx,7.28.6
@babel/plugin-transform-react-jsx-development,7.27.1
@babel/plugin-transform-react-jsx-self,7.27.1
@babel/plugin-transform-react-jsx-source,7.27.1
@babel/plugin-transform-react-pure-annotations,7.27.1
@babel/plugin-transform-regenerator,7.28.6
@babel/plugin-transform-regexp-modifiers,7.28.6
@babel/plugin-transform-reserved-words,7.27.1
@babel/plugin-transform-runtime,7.28.5
@babel/plugin-transform-shorthand-properties,7.27.1
@babel/plugin-transform-spread,7.28.6
@babel/plugin-transform-sticky-regex,7.27.1
@babel/plugin-transform-template-literals,7.27.1
@babel/plugin-transform-typeof-symbol,7.27.1
@babel/plugin-transform-typescript,7.28.6
@babel/plugin-transform-unicode-escapes,7.27.1
@babel/plugin-transform-unicode-property-regex,7.28.6
@babel/plugin-transform-unicode-regex,7.27.1
@babel/plugin-transform-unicode-sets-regex,7.28.6
@babel/preset-env,7.28.6
@babel/preset-modules,0.1.6-no-external-plugins
@babel/preset-react,7.28.5
@babel/preset-typescript,7.28.5
@babel/runtime,7.28.6
@babel/template,7.28.6
@babel/traverse,7.28.6
@babel/types,7.28.6
@bazel/runfiles,6.5.0
@bcoe/v8-coverage,0.2.3
@bufbuild/protobuf,2.11.0
@cspotcode/source-map-support,0.8.1
@csstools/color-helpers,5.1.0
@csstools/css-calc,2.1.4
@csstools/css-color-parser,3.1.0
@csstools/css-parser-algorithms,3.0.5
@csstools/css-syntax-patches-for-csstree,1.0.25
@csstools/css-tokenizer,3.0.4
@emnapi/core,1.8.1
@emnapi/runtime,1.8.1
@emnapi/wasi-threads,1.1.0
@emotion/is-prop-valid,1.4.0
@emotion/memoize,0.9.0
@emotion/stylis,0.8.5
@emotion/unitless,0.7.5
@esbuild/aix-ppc64,0.27.2
@esbuild/android-arm,0.27.2
@esbuild/android-arm64,0.27.2
@esbuild/android-x64,0.27.2
@esbuild/darwin-arm64,0.27.2
@esbuild/darwin-x64,0.27.2
@esbuild/freebsd-arm64,0.27.2
@esbuild/freebsd-x64,0.27.2
@esbuild/linux-arm,0.27.2
@esbuild/linux-arm64,0.27.2
@esbuild/linux-ia32,0.27.2
@esbuild/linux-loong64,0.27.2
@esbuild/linux-mips64el,0.27.2
@esbuild/linux-ppc64,0.27.2
@esbuild/linux-riscv64,0.27.2
@esbuild/linux-s390x,0.27.2
@esbuild/linux-x64,0.27.2
@esbuild/netbsd-arm64,0.27.2
@esbuild/netbsd-x64,0.27.2
@esbuild/openbsd-arm64,0.27.2
@esbuild/openbsd-x64,0.27.2
@esbuild/openharmony-arm64,0.27.2
@esbuild/sunos-x64,0.27.2
@esbuild/win32-arm64,0.27.2
@esbuild/win32-ia32,0.27.2
@esbuild/win32-x64,0.27.2
@eslint-community/eslint-utils,4.9.1
@eslint-community/regexpp,4.12.2
@eslint/config-array,0.21.1
@eslint/config-helpers,0.4.2
@eslint/core,0.17.0
@eslint/eslintrc,3.3.3
@eslint/js,9.39.2
@eslint/object-schema,2.1.7
@eslint/plugin-kit,0.4.1
@exodus/bytes,1.8.0
@finos/fdc3,1.2.0
@floating-ui/core,1.7.3
@floating-ui/dom,1.7.4
@floating-ui/react-dom,2.1.6
@floating-ui/utils,0.2.10
@hono/node-server,1.19.9
@humanfs/core,0.19.1
@humanfs/node,0.16.7
@humanwhocodes/module-importer,1.0.1
@humanwhocodes/retry,0.4.3
@inquirer/ansi,1.0.2
@inquirer/checkbox,4.3.2
@inquirer/confirm,5.1.21
@inquirer/core,10.3.2
@inquirer/editor,4.2.23
@inquirer/expand,4.0.23
@inquirer/external-editor,1.0.3
@inquirer/figures,1.0.15
@inquirer/input,4.3.1
@inquirer/number,3.0.23
@inquirer/password,4.0.23
@inquirer/prompts,7.10.1
@inquirer/rawlist,4.1.11
@inquirer/search,3.2.2
@inquirer/select,4.4.2
@inquirer/type,3.0.10
@isaacs/balanced-match,4.0.1
@isaacs/brace-expansion,5.0.0
@isaacs/cliui,8.0.2
@isaacs/fs-minipass,4.0.1
@istanbuljs/load-nyc-config,1.1.0
@istanbuljs/schema,0.1.3
@jest/console,30.0.0
@jest/core,30.0.0
@jest/diff-sequences,30.0.1
@jest/environment,30.0.0
@jest/environment-jsdom-abstract,30.2.0
@jest/expect,30.0.0
@jest/expect-utils,30.0.0
@jest/fake-timers,30.0.0
@jest/get-type,30.1.0
@jest/globals,30.0.0
@jest/pattern,30.0.1
@jest/reporters,30.0.0
@jest/schemas,30.0.5
@jest/snapshot-utils,30.0.0
@jest/source-map,30.0.0
@jest/test-result,30.0.0
@jest/test-sequencer,30.0.0
@jest/transform,30.2.0
@jest/types,30.2.0
@jridgewell/gen-mapping,0.3.13
@jridgewell/remapping,2.3.5
@jridgewell/resolve-uri,3.1.2
@jridgewell/source-map,0.3.11
@jridgewell/sourcemap-codec,1.5.5
@jridgewell/trace-mapping,0.3.31
@jsonjoy.com/base64,1.1.2
@jsonjoy.com/buffers,1.2.1
